"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Impressions,Reach,Frequency,Purchases,Ends,Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Purchase ROAS (return on ad spend)","Result rate","Results ROAS","Result value indicator","Results value",Views,Viewers,"2-second continuous video plays","3-second video plays","Cost per 2-second continuous video play (USD)","Cost per 3-second video play (USD)","Cost per ThruPlay (USD)",ThruPlays,unique_video_continuous_2_sec_watched_actions:video_view,"Video plays","Clicks (all)","Cost per unique click (all) (USD)","CPC (all) (USD)","CPC (cost per link click) (USD)","CTR (all)","CTR (link click-through rate)","Link clicks",shop_clicks,"Photo clicks","Unique clicks (all)","Unique CTR (all)","Unique CTR (link click-through rate)","Unique link clicks","Landing page views","Cost per landing page view (USD)","Instagram profile visits","Donation ROAS (return on ad spend)","Purchases conversion value","Cost per purchase (USD)","Cost per like (USD)","Facebook likes","Instagram follows","Achievements unlocked","Achievements unlocked conversion value","Cost per achievement unlocked (USD)","Adds of payment info","Adds to cart","Adds to cart conversion value","Adds of payment info conversion value","Cost per add of payment info (USD)","Cost per add to cart (USD)",actions:omni_add_to_wishlist,action_values:omni_add_to_wishlist,cost_per_action_type:omni_add_to_wishlist,"Appointments scheduled","Applications submitted","Submit application conversion value","Appointments scheduled conversion value","Cost per application submitted (USD)","Cost per appointment scheduled (USD)","3-second video plays rate per impressions","Video plays at 75%","Video plays at 95%","Video plays at 25%","Video plays at 50%","Video plays at 100%","Video average play time","Ad set delivery","Date created","Date last edited",Objective,"Campaign ID","Account ID","Account name","Ad ID","Ad set ID",url_tags,"Instant Experience clicks to open","Instant Experience clicks to start","Instant Experience outbound clicks","Purchases rate per link clicks","Results rate per link clicks","Purchases rate per landing page views","Landing page views rate per link clicks","Average purchases conversion value [Incremental attribution all conversions]","% plays @25%","Drop off @75-100%","Drop off 25-50%","Drop off 50-75%","Drop off 75-100%","IC > Pur","Hold Rate",FbyR,AOV,"Add to Cart Rate",100rbycpa,"ATC > IC","Checkout Rate","Checkout Rate copy","Clicks to Purchases",Conversion,"Cost per ATC","Cost per checkout","LPV > ATC","OBC > LPV",PbyR,RbyCPA,"Thumb Stop Ratio","Thumbnail retention","Purchase/Checkout %","Cost per ad recall lift (USD)","Estimated ad recall lift rate","Estimated ad recall lift (people)","Campaign name","In-app ad clicks","In-app ad impressions",Leads,"Cost per in-app ad click (USD)","In-app ad impressions value","Leads conversion value","Cost per 1,000 in-app ad impressions (USD)","Cost per lead (USD)","Results (initial)","Results (initial) indicator"
2026-06-26,2026-06-26,"43-sales-adset5-AIvideo-5 supplement fatigue over 40",active,"7-day click, 1-day view or 1-day engaged view",,,,50,Daily,0,0,0,0,,Ongoing,0,ABSOLUTE_OCPM,2026-07-16T03:08:23-0500,-,-,-,"Ad Set5 - Sales PDP - AI Videos",,,,,,0,0,,,,,,,,,0,0,0,,0,,,,,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,active,2026-07-06,2026-07-16,Sales,120250243698240506,804570870670763,"VAHDAM USA - Tea Ad Account",120250828248250506,120250494587890506,,0,0,,0,,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,0,"Target - In-house - Sales PageDeck Campaign",,,,,,,,,,
2026-06-26,2026-06-26,"42-sales-adset5-AIvideo-Plan A vs Plan B",active,"7-day click, 1-day view or 1-day engaged view",,,,50,Daily,0,0,0,0,,Ongoing,0,ABSOLUTE_OCPM,2026-07-16T03:08:23-0500,-,-,-,"Ad Set5 - Sales PDP - AI Videos",,,,,,0,0,,,,,,,,,0,0,0,,0,,,,,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,active,2026-07-06,2026-07-16,Sales,120250243698240506,804570870670763,"VAHDAM USA - Tea Ad Account",120250827961460506,120250494587890506,,0,0,,0,,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,0,"Target - In-house - Sales PageDeck Campaign",,,,,,,,,,
2026-06-26,2026-06-26,"40-sales-adset5-AIvideo-woman in car blonde",inactive,"7-day click, 1-day view or 1-day engaged view",,,,50,Daily,0,0,0,0,,Ongoing,0,ABSOLUTE_OCPM,2026-07-02T06:55:26-0500,-,-,-,"Ad Set6 - Sales PDP - UGC-edits",,,,,,0,0,,,,,,,,,0,0,0,,0,,,,,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,inactive,2026-07-02,2026-07-02,Sales,120250243698240506,804570870670763,"VAHDAM USA - Tea Ad Account",120250721163980506,120250721163970506,,0,0,,0,,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,0,"Target - In-house - Sales PageDeck Campaign",,,,,,,,,,
2026-06-26,2026-06-26,"41-sales-adset5-AIvideo-woman with green screen 8 weeks",active,"7-day click, 1-day view or 1-day engaged view",,,,50,Daily,0,0,0,0,,Ongoing,0,ABSOLUTE_OCPM,2026-07-16T03:08:23-0500,-,-,-,"Ad Set5 - Sales PDP - AI Videos",,,,,,0,0,,,,,,,,,0,0,0,,0,,,,,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,active,2026-06-27,2026-07-16,Sales,120250243698240506,804570870670763,"VAHDAM USA - Tea Ad Account",120250495641040506,120250494587890506,,0,0,,0,,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,0,"Target - In-house - Sales PageDeck Campaign",,,,,,,,,,
2026-06-26,2026-06-26,"40-sales-adset5-AIvideo-woman in car blonde",active,"7-day click, 1-day view or 1-day engaged view",,,,50,Daily,0,0,0,0,,Ongoing,0,ABSOLUTE_OCPM,2026-07-16T03:08:23-0500,-,-,-,"Ad Set5 - Sales PDP - AI Videos",,,,,,0,0,,,,,,,,,0,0,0,,0,,,,,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,active,2026-06-27,2026-07-16,Sales,120250243698240506,804570870670763,"VAHDAM USA - Tea Ad Account",120250495577540506,120250494587890506,,0,0,,0,,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,0,"Target - In-house - Sales PageDeck Campaign",,,,,,,,,,
2026-06-26,2026-06-26,"39-sales-adset5-AIvideo-doctor in scrubs",active,"7-day click, 1-day view or 1-day engaged view",,,,50,Daily,0,0,0,0,,Ongoing,0,ABSOLUTE_OCPM,2026-07-16T03:08:23-0500,-,-,-,"Ad Set5 - Sales PDP - AI Videos",,,,,,0,0,,,,,,,,,0,0,0,,0,,,,,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,active,2026-06-27,2026-07-16,Sales,120250243698240506,804570870670763,"VAHDAM USA - Tea Ad Account",120250495530670506,120250494587890506,,0,0,,0,,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,0,"Target - In-house - Sales PageDeck Campaign",,,,,,,,,,
2026-06-26,2026-06-26,"38-sales-adset5-AIvideo-woman in car with vahdam cup",active,"7-day click, 1-day view or 1-day engaged view",,,,50,Daily,0,0,0,0,,Ongoing,0,ABSOLUTE_OCPM,2026-07-16T03:08:23-0500,-,-,-,"Ad Set5 - Sales PDP - AI Videos",,,,,,0,0,,,,,,,,,0,0,0,,0,,,,,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,active,2026-06-27,2026-07-16,Sales,120250243698240506,804570870670763,"VAHDAM USA - Tea Ad Account",120250494588010506,120250494587890506,,0,0,,0,,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,0,"Target - In-house - Sales PageDeck Campaign",,,,,,,,,,
2026-06-26,2026-06-26,"27-sales-adset4-ugc/reviews-im 45 shed 15 pounds",active,"7-day click, 1-day view or 1-day engaged view",,,,50,Daily,0,0,0,0,,Ongoing,0,ABSOLUTE_OCPM,2026-07-16T03:08:24-0500,-,-,-,"Ad Set4 - Sales PDP - Static - UGC/Reviews",,,,,,0,0,,,,,,,,,0,0,0,,0,,,,,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,active,2026-06-27,2026-07-16,Sales,120250243698240506,804570870670763,"VAHDAM USA - Tea Ad Account",120250491582320506,120250486732380506,,0,0,,0,,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,0,"Target - In-house - Sales PageDeck Campaign",,,,,,,,,,
2026-06-26,2026-06-26,"36-sales-adset4-ugc/reviews-6 reasons i drink ashwagandha",active,"7-day click, 1-day view or 1-day engaged view",,,,50,Daily,0,0,0,0,,Ongoing,0,ABSOLUTE_OCPM,2026-07-16T03:08:24-0500,-,-,-,"Ad Set4 - Sales PDP - Static - UGC/Reviews",,,,,,0,0,,,,,,,,,0,0,0,,0,,,,,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,active,2026-06-27,2026-07-16,Sales,120250243698240506,804570870670763,"VAHDAM USA - Tea Ad Account",120250491582310506,120250486732380506,,0,0,,0,,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,0,"Target - In-house - Sales PageDeck Campaign",,,,,,,,,,
2026-06-26,2026-06-26,"29-sales-adset4-ugc/reviews-coffee not supposed to make anxious",active,"7-day click, 1-day view or 1-day engaged view",,,,50,Daily,0,0,0,0,,Ongoing,0,ABSOLUTE_OCPM,2026-07-16T03:08:24-0500,-,-,-,"Ad Set4 - Sales PDP - Static - UGC/Reviews",,,,,,0,0,,,,,,,,,0,0,0,,0,,,,,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00,active,2026-06-27,2026-07-16,Sales,120250243698240506,804570870670763,"VAHDAM USA - Tea Ad Account",120250491582300506,120250486732380506,,0,0,,0,,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,0,"Target - In-house - Sales PageDeck Campaign",,,,,,,,,,
