"Product title","Quantity ordered","Net sales","Orders"
"Chamomile Mint Citrus Green Tea, 3.53 oz",179,3048.7,144
"Garlic Powder,2.47 Oz, 70g",179,792.81,125
"Chai Tea Loose Leaf Gift Sampler, 10 Teas",177,3382.95,168
"Tea Infuser & Spoon Trio Set",174,1815.52,172
"Turmeric Ginger Herbal Tea Tisane, 30 Count",174,1901.29,138
"Assam Exotic Black Tea, 100 Count",169,3226.3,138
"Vanilla Spiced Masala Chai Tea, 30 Count",168,1953.79,158
"Imperial Loose Leaf Tea Maker with Infuser",168,3926.56,152
"2025 Castleton Classic Darjeeling Second Flush Black Tea DJ 354",168,3178.21,126
"2025 Okayti Classic Darjeeling Second Flush Black Tea DJ 73",166,2663.57,129
"Ginger Mint Green Tea, 3.53 oz",166,2416.26,114
"Vedic Kadha Herbal Tea Tisane, 100 Count",164,3192.73,152
"Ginger Powder,2.47 Oz, 70g",164,798.26,118
"Darjeeling Premium First Flush Black Tea, 12 oz",161,5005.94,113
"Ashwagandha Coffee (Pack of 2)",161,8310.76,161
"Nilgiri Breakfast Black Tea, 12 oz",159,3437.47,149
"Mint Melody Green Tea, 3.53 oz",152,2552.33,116
"High Mountain Oolong Tea, 3.53 oz",147,1813.85,128
"Assorted Tea Bags Sampler, (40 Pyramid Tea Bags) 20 Flavors",145,2817.2,130
"Darjeeling Spring Black Tea, 100 Count",145,3889.53,109
"2025 Jungpana Muscatel Darjeeling Second Flush Black Tea DJ 120",138,2570.09,115
"Turmeric Chamomile Herbal Tea, 100 Count",136,2838.32,116
"Lemon Ginger Green Tea, 100 Count",136,3059.35,125
"Blue Mountain Nilgiri Oolong Tea, 1.76 oz",134,1648.82,79
"2025 Giddapahar Classic Darjeeling Second Flush Black Tea DJ 74",134,3833.65,113
"Himalayan Green Tea, 3.53 oz",133,1667.36,113
"Ginger Mint Green Tea, 100 Count",129,2586,125
"Sweet Cinnamon Masala Chai Tea, 100 Count",129,2594.22,111
"Turmeric Saffron Herbal Tea Tisane, 3.53 oz",126,2175.06,107
