"Month","Average order value","Orders","Total sales"
"2025-07-01",58.524,771,48023.48
"2025-08-01",62.052,1053,68162.65
"2025-09-01",61.777,1051,68886.01
"2025-10-01",58.131,1206,74499.49
"2025-11-01",62.549,2888,191931.05
"2025-12-01",51.868,2513,141944.63
"2026-01-01",45.818,1400,69731.11
"2026-02-01",49.607,1170,62770.7
"2026-03-01",47.94,1660,86134.98
"2026-04-01",44.34,2152,101198.91
"2026-05-01",42.054,2320,102787.98
"2026-06-01",42.368,1999,86298.54
"2026-07-01",40.624,437,18395.82
