"Month","Orders","Total sales","Average order value"
"2025-07-01",771,48023.48,58.524
"2025-08-01",1053,68162.65,62.052
"2025-09-01",1051,68886.01,61.777
"2025-10-01",1206,74499.49,58.131
"2025-11-01",2888,191931.05,62.549
"2025-12-01",2513,141944.63,51.868
"2026-01-01",1400,69731.11,45.818
"2026-02-01",1170,62770.7,49.607
"2026-03-01",1660,86134.98,47.94
"2026-04-01",2152,101198.91,44.34
"2026-05-01",2320,102787.98,42.054
"2026-06-01",1999,86298.54,42.368
"2026-07-01",437,18395.82,40.624
