"Month","New customers","Returning customers","Orders (first-time)","Orders (returning)"
"2025-07-01",355,396,355,416
"2025-08-01",464,573,464,589
"2025-09-01",464,568,464,587
"2025-10-01",617,574,617,589
"2025-11-01",1230,1528,1230,1658
"2025-12-01",1454,969,1454,1059
"2026-01-01",644,730,644,756
"2026-02-01",520,628,520,650
"2026-03-01",770,844,770,890
"2026-04-01",1146,950,1146,1006
"2026-05-01",1052,1208,1052,1268
"2026-06-01",816,1144,816,1183
"2026-07-01",143,289,143,294
