"Month","Orders","Total sales","Average order value"
"2025-07-01",17,720.329,39.561
"2025-08-01",32,1464.542,42.402
"2025-09-01",121,4972.575,40.111
"2025-10-01",807,34227.858,41.772
"2025-11-01",1442,46229.81,32.18
"2025-12-01",1923,58878.37,31.709
"2026-01-01",2575,84283.17,33.863
"2026-02-01",2806,88985.88,33.423
"2026-03-01",3292,108042.91,33.222
"2026-04-01",3796,125400.3,33.579
"2026-05-01",3755,120963.17,33.692
"2026-06-01",3389,109763.91,33.698
"2026-07-01",1046,34582.21,34.506
